Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140036,16.70,AB,0.00,I,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140671,19.15,11.5,31.00,F,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140705,17.60,AB,0.00,I,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500013,17.70,27,45.00,D,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500019,15.25,13.5,29.00,F,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500108,15.00,23.5,39.00,E,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500127,19.80,15.5,36.00,E,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500163,16.50,21.5,38.00,E,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500263,13.40,21.5,35.00,E,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500281,17.60,28.5,47.00,D,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500295,12.00,AB,0.00,I,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500332,16.80,27.5,45.00,D,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500361,14.75,01,16.00,F,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500363,17.05,MP,00.00,MP,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500445,15.80,29,45.00,D,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500447,12.60,9.5,23.00,F,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201500146,16.40,33,50.00,D,JULY_AUG,2016,EXTRA,CH1111,2.0,ENVIRONMENTAL SCIENCE _13 14 15_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
