Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120729,14.65,3.0,18.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130268,15.99,21.75,38.00,E,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130493,12.68,AAB,13.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130591,15.89,18.75,35.00,E,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20120233,8.48,25.75,35.00,E,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130287,15.96,AB,0.00,I,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130310,14.53,AB,0.00,I,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130504,17.49,21.25,39.00,E,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130609,18.88,11.5,31.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130716,17.85,8.5,27.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130192,9.25,10.25,20.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140129,15.30,AB,0.00,I,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140139,16.70,AB,0.00,I,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140450,15.70,3.75,20.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140574,16.70,3.5,21.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140655,9.65,3.25,13.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140690,13.65,1.75,16.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201500296,17.10,AB,0.00,I,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201500704,15.95,12.5,29.00,F,NOV_DEC,2016,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
