Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130210,39.30,19,59.00,C,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130508,11.20,24.5,36.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130538,9.30,27.5,37.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130585,13.80,25,39.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140023,22.40,23,46.00,D,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140261,13.70,34,48.00,D,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201518503,9.30,29,39.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201518508,9.90,29,39.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201518513,7.90,AB,0.00,I,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120021,9.80,27,37.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120535,12.30,23,36.00,E,JULY_AUG,2016,EXTRA,CE1403,4.0,STRUCTURAL ANALYSIS II _11 12 13 14_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
