Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201700001,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700011,19.80,20,40.00,E,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700024,21.00,22.75,44.00,E,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700035,26.90,43,70.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700045,25.30,39,65.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700060,29.50,22,52.00,D,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700081,34.50,36.5,71.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700091,28.00,31.5,60.00,C,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700104,36.60,35,72.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700117,30.10,32.5,63.00,C,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700129,29.70,42.5,73.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700141,29.60,38.5,69.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700153,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700163,18.30,19.5,38.00,E,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700183,35.40,38.5,74.00,A,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700194,11.20,10.5,22.00,F,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700204,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700214,34.90,41.5,77.00,A,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700224,19.70,26,46.00,D,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700235,23.30,26.5,50.00,D,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700245,32.20,27.75,60.00,C,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700255,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700275,27.30,30,58.00,C,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700295,39.20,43,83.00,A,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700315,23.10,34.5,58.00,C,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700325,31.70,34.75,67.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700335,25.70,26.5,53.00,D,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700345,35.20,33,69.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700365,21.70,22,44.00,E,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700395,27.30,42.25,70.00,B,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
201700405,19.70,30,50.00,D,APRIL_MAY_APR,2018,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,3,1,15,0,196
