Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200918027,17.40,23.5,41.00,E,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201018002,12.00,19,31.00,F,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201018003,11.90,AB,0.00,I,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201018014,18.00,AB,0.00,I,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201018044,14.20,22,37.00,E,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201118510,12.00,AB,0.00,I,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110333,15.00,9.5,25.00,F,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110360,13.00,5.5,19.00,F,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110361,19.40,9.5,29.00,F,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110379,25.10,24,50.00,D,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20111108,26.20,17.5,44.00,D,NOV_DEC,2013,BACK,CE306,4.0,ENGINEERING GEOLOGY,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
