Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130335,11.35,23,35.00,E,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20130364,10.50,18,29.00,F,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140006,36.15,35,72.00,A,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140007,47.30,43.5,91.00,S,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140009,28.85,35,64.00,B,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140010,14.95,22,37.00,E,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140013,31.45,37.5,69.00,B,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140022,19.80,29.5,50.00,D,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140024,33.60,39,73.00,A,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140028,32.10,44.75,77.00,A,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140030,9.50,25,35.00,E,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140032,13.70,37.75,52.00,D,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140034,18.65,29.5,49.00,D,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140036,13.60,MP,0.00,MP,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140038,26.50,24,51.00,D,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140039,14.50,30,45.00,D,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140050,9.10,7.5,17.00,F,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140053,22.10,35,58.00,C,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140054,29.70,36.25,66.00,B,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140063,17.20,7.5,25.00,F,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140073,9.60,AB,0.00,I,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140075,36.30,43.5,80.00,S,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140080,37.50,47,85.00,S,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140093,10.40,16,27.00,F,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
20140099,29.30,37.5,67.00,B,MAY_JUNE,2016,NORMAL,CS1402,4.0,MICROPROCESSOR & PERIPHERAL DEVICES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,13,0,7,0,189
