Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201021205,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121201,38.55,29.5,69.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121202,33.20,29.5,63.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121203,39.60,33.25,73.00,B,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121204,29.95,28.25,59.00,D,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121205,34.75,28.75,64.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121206,39.75,33.75,74.00,B,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121207,34.10,27.75,62.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121208,24.35,AB,0.00,I,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121209,30.50,31.75,63.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121210,36.70,37.5,75.00,B,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121211,40.85,35,76.00,B,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121212,32.70,26.75,60.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121213,38.10,27.5,66.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121214,37.45,30.75,69.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121215,30.15,AB,0.00,I,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201121216,36.25,31.5,68.00,C,NOV_DEC,2012,NORMAL,PHY302,4.0,NUCLEAR & PARTICLE PHYSICS,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
