Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121521,40.40,30.5,71.00,B,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121524,33.90,39,73.00,B,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121527,44.90,38,83.00,A,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326001,42.40,38,81.00,A,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326002,30.10,33.5,64.00,C,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326003,35.90,38,74.00,B,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326004,40.40,42.5,83.00,A,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326005,41.50,35,77.00,B,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326006,40.70,43.5,85.00,A,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201326007,34.60,31.5,67.00,C,NOV_DEC,2013,NORMAL,MDC103,4.0,ADVANCED DIGITAL SIGNAL PROCESSING,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
