Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201521301,30.15,36.5,67.00,C,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521302,28.45,27,56.00,D,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521303,35.15,37,73.00,B,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521304,37.10,35.5,73.00,B,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521305,33.50,34,68.00,C,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521306,27.95,23.5,52.00,D,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521307,31.95,35,67.00,C,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521308,40.50,47,88.00,A,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521309,31.85,34.5,67.00,C,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521310,38.50,35,74.00,B,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521311,26.15,26.5,53.00,D,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
201521312,27.35,21.5,49.00,E,MAY_JUNE,2017,NORMAL,CH2403,4.0,GROUPH THEORY A CHEMIST APPROACH,89,80,70,60,50,40,MAY_JUNE_2017,0,0,0,0,0
