Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130306,12.10,22.5,35.00,E,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130469,14.80,24,39.00,E,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130625,23.91,AB,0.00,I,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130696,30.22,26,57.00,C,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140004,31.14,AB,0.00,I,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140097,21.46,AB,0.00,I,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140114,22.73,18.5,42.00,E,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140157,15.56,AB,0.00,I,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140181,18.27,AB,0.00,I,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140404,32.62,42.5,76.00,A,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140581,20.42,23,44.00,D,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140684,22.48,20.5,43.00,E,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201512505,23.38,13.5,37.00,E,JAN,2017,SUPP,IT1506,4.0,OBJECT ORIENTED PROGRAMMING _REF CODE:EC1599_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
