Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200713012,21.30,22.5,44.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
200815021,28.80,28,57.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
200912068,19.50,20.5,40.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
200928045,21.60,28,50.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20110435,19.90,14,34.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120321,24.50,22.5,47.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120693,24.00,24,48.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120046,38.60,42.5,82.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120090,23.60,18.5,43.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120099,18.10,19.5,38.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120019,27.40,30,58.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120072,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120198,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120081,42.00,29.75,72.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120162,37.40,33.5,71.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120028,24.00,20.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120216,26.80,22.75,50.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120126,39.20,34,74.00,A,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120252,30.40,35.5,66.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120234,26.50,24.25,51.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120135,25.40,17.5,43.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120144,23.30,21.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120315,21.00,20.5,42.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120279,40.20,38,79.00,A,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120153,35.00,29.25,65.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120318,28.60,27.5,57.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120055,31.70,27.5,60.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120261,25.40,10.5,36.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120225,21.20,28.5,50.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120306,30.70,21.5,53.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120316,18.90,20,39.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120319,14.60,20.75,36.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120314,13.10,18,32.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120037,28.20,27,56.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120270,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120064,33.30,34,68.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20121101,13.50,20,34.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120243,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120180,16.50,13,30.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120117,36.00,21.5,58.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120207,12.10,11,24.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120171,22.10,19,42.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120189,42.50,45.5,88.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120001,33.10,28.5,62.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120317,23.50,13,37.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120702,29.30,26,56.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120706,44.40,40,85.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120709,23.20,18.5,42.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120712,31.40,27,59.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120715,27.00,24,51.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120718,46.30,45,92.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120723,21.00,18,39.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120725,26.90,19,46.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120728,24.10,20.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120331,25.40,25,51.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120262,23.50,21.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120325,40.40,41,82.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120329,32.60,36.5,70.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120172,19.90,19,39.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20121102,22.30,18,41.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120127,31.50,32.5,64.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120298,18.80,18.5,38.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120163,13.00,13.5,27.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120323,19.10,24,44.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120002,29.90,24,54.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120244,26.80,16.5,44.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120289,21.30,40.5,62.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120109,25.50,26.5,52.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120181,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120326,14.70,10,25.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120208,34.30,36,71.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120056,22.65,22.75,46.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120118,22.30,20.5,43.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120154,21.20,25,47.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120307,20.70,12.5,34.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120253,34.50,34.5,69.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120694,44.25,43,88.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120020,30.00,30,60.00,C,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120091,24.20,20.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120217,31.90,33,65.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120199,24.10,20,45.00,D,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120047,33.20,36,70.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120271,21.00,11,32.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120100,38.90,34,73.00,A,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120136,20.10,12,33.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120324,44.10,38.5,83.00,S,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120011,21.40,19.75,42.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120332,42.10,36.5,79.00,A,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120235,34.60,28.5,64.00,B,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120327,18.90,17.5,37.00,E,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
20120145,17.50,15.5,33.00,F,APRIL_MAY_APR,2013,NORMAL,COA201_COB201,4.0,ENGINEERING MATHEMATICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,4,0,32,0,566
