Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120593,9.60,13,23.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20120700,11.70,15.5,28.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130069,9.60,19,29.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130590,10.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130609,14.90,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130619,5.25,10.5,16.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140073,14.90,14,29.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140116,13.20,11.5,25.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140200,13.40,08,22.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140220,21.20,09,31.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140338,9.90,17.5,28.00,F,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140348,9.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140431,11.70,23,35.00,E,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140444,14.20,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1604,4.0,FORMAL LANGUAGES & AUTOMATA THEORY _11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
