Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201621301,33.35,30.5,64.00,C,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621302,35.30,25.5,61.00,C,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621303,32.60,27.25,60.00,C,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621304,27.10,22.75,50.00,D,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621305,28.40,28,57.00,D,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621307,32.15,28.25,61.00,C,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621308,37.75,41.75,80.00,A,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621309,34.30,41.5,76.00,B,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621310,40.25,32,73.00,B,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621311,33.70,34.5,69.00,C,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
201621312,45.50,47,93.00,S,APRIL_MAY_APR,2018,NORMAL,CH2402,4.0,SOLID STATE CHEMISTRY & INTERFACE SCIENCE,89,80,70,60,50,40,APRIL_MAY_APR_2018,0,0,0,0,0
