Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201311507,12.50,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20120370,8.10,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20120700,8.90,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130242,12.50,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20130254,15.00,02,17.00,F,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201411504,16.60,17.5,35.00,E,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201411507,14.40,13.5,28.00,F,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140036,14.60,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140070,12.70,17.5,31.00,F,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140139,4.60,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140338,15.00,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140457,18.50,16.5,35.00,E,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20140574,10.00,21.5,32.00,F,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
201511501,15.60,AB,0.00,I,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
20110514,18.10,13.00,32.00,F,NOV_DEC,2016,BACK,MA1302,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,0,0,0,0,0
