Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140206,14.60,04,19.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140252,17.00,12.5,30.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140519,19.70,28.5,49.00,D,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140665,14.60,15.5,31.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500224,13.60,21.5,36.00,E,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500231,10.10,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500249,12.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500374,23.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600057,19.50,15.5,35.00,E,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600213,11.30,19.5,31.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600280,11.50,23.5,35.00,E,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600284,11.70,14,26.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700003,30.00,24,54.00,C,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700163,7.10,2.5,10.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700224,18.90,23,42.00,E,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700516,12.70,01,14.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130177,14.90,14,29.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130575,9.00,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130619,8.00,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130716,13.40,12,26.00,F,APRIL_MAY_APR,2018,BACK,CE1102,4.0,MECHANICS OF SOLIDS _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
