Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201016003,40.10,25.1,66.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201016016,37.10,21.9,59.00,D,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201016021,29.80,21.4,52.00,E,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116001,38.10,29.2,68.00,B,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116002,33.40,26.6,61.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116004,39.80,27.7,68.00,B,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116005,38.60,25.8,65.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116006,32.10,20.5,53.00,E,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116007,33.60,25.6,60.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116008,33.40,30.6,65.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116009,31.80,24.3,57.00,D,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116010,38.00,25.5,64.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116011,35.80,25.2,61.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116012,35.00,25.5,61.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116013,22.40,26,49.00,E,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116014,38.40,23,62.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116015,21.80,20,42.00,F,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116016,37.20,26.9,65.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116018,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116019,38.40,26.3,65.00,C,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116021,40.80,25.8,67.00,B,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116023,42.20,31.4,74.00,A,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116024,33.80,23.7,58.00,D,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
201116025,32.20,24.8,57.00,D,MAY_JUNE,2014,NORMAL,BCA607,2.5,PROJECT LAB,80.000000,73.000000,67.000000,60.000000,54.000000,47.000000,MAY_JUNE_2014,0,0,1,1,47
