Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121426,36.70,37.5,75.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121427,36.45,40,77.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121428,43.10,43.5,87.00,A,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121429,38.95,35.5,75.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121430,36.50,30,67.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121431,40.10,31,72.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121432,44.55,41.25,86.00,A,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121433,27.30,32,60.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121434,33.05,25,59.00,D,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121435,35.55,36.5,73.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121436,39.30,37.5,77.00,B,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121437,43.40,35.75,80.00,A,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121438,33.65,33.5,68.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121439,38.30,30,69.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121440,41.05,41,83.00,A,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121441,44.10,43.5,88.00,A,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121443,36.35,28.5,65.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121444,24.60,21,46.00,E,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
20121445,33.75,33.5,68.00,C,NOV_DEC,2013,NORMAL,MCH303,4.0,CHEMICAL DYNAMICS & ELECTROCHEMISTRY,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
