Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201322007,29.60,32.5,63.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201322014,23.70,26,50.00,E,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201322015,31.60,29,61.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422001,30.90,37,68.00,B,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422002,41.00,44,85.00,A,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422003,25.40,26.5,52.00,D,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422004,32.40,29,62.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422005,30.10,26,57.00,D,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422006,34.10,36,71.00,B,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422007,27.00,40,67.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201422507,35.30,37.75,74.00,B,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522003,24.40,25,50.00,E,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522004,25.90,MP,00.00,MP,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522005,29.30,34.5,64.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522008,42.50,40,83.00,A,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522009,41.90,44.5,87.00,S,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522010,28.80,27,56.00,D,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522011,43.30,45,89.00,S,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522012,38.00,38.5,77.00,A,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522014,45.60,45,91.00,S,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522015,36.50,41.5,78.00,A,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522017,31.90,22,54.00,D,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522019,34.80,34,69.00,B,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522020,26.50,34.5,61.00,C,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
201522021,29.20,25,55.00,D,NOV_DEC,2016,NORMAL,CA2503,4.0,OOD & ANA USING UML,86.000000,77.000000,68.000000,60.000000,51.000000,42.000000,NOV_DEC_2016,0,0,0,0,25
