Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120069,9.30,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120357,10.10,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120593,15.20,02,18.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120666,6.30,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120700,9.90,01,11.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130001,14.80,0.5,16.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130005,12.20,16.5,29.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130023,9.40,01,11.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130038,8.80,15,24.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130042,10.00,16.5,27.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130043,14.20,30,45.00,D,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130061,8.20,15,24.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130069,9.30,03,13.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130083,14.00,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130092,15.20,5.5,21.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130194,12.80,08,21.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130218,13.30,22.5,36.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130248,14.50,15,30.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130268,22.70,17.5,41.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130310,16.50,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130311,19.80,23,43.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130329,14.70,0.5,16.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130345,14.30,27,42.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130352,17.30,18,36.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130362,12.00,4.5,17.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130373,14.80,22.5,38.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130407,16.70,03,20.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130428,14.10,08,23.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130441,14.20,2.5,17.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130478,5.95,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130501,13.60,10,24.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130516,13.70,12.5,27.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130517,16.10,32.5,49.00,D,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130551,11.40,11.5,23.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130575,8.30,12,21.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130590,6.20,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130641,17.00,18,35.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130649,12.70,AB,0.00,I,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130654,16.35,28.5,45.00,D,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130656,14.00,21.5,36.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130682,16.30,29,46.00,D,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130708,14.60,20.5,36.00,E,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130718,14.90,7.5,23.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130746,18.30,27,46.00,D,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201311506,9.90,03,13.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201411507,13.50,4.5,18.00,F,JAN,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
