Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120212,12.70,22,35.00,E,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120357,6.80,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120491,12.90,12.5,26.00,F,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120700,8.90,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120721,14.00,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130268,21.10,25,47.00,D,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130320,25.20,31,57.00,C,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130428,17.60,14,32.00,F,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130705,11.00,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20110435,19.40,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120276,10.60,8.5,20.00,F,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120349,12.80,AB,0.00,I,NOV_DEC,2015,BACK,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
