Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200915021,11.50,35,47.00,D,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110310,16.35,20.5,37.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110392,14.10,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110451,20.00,18.25,39.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110514,23.00,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120014,16.50,21.5,38.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120015,20.41,22.5,43.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120092,5.90,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120136,13.50,9.5,23.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120176,19.34,15.5,35.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120180,21.00,17,38.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120182,21.30,16.5,38.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120184,19.60,13,33.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120198,16.20,12,29.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120202,19.60,09,29.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120209,9.10,04,14.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120219,18.00,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120239,23.81,13.5,38.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120244,19.45,22,42.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120273,21.40,11,33.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120282,27.80,15,43.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120310,19.05,15,35.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120317,15.30,10.5,26.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120334,17.60,23,41.00,E,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120343,6.70,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120357,19.00,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120412,21.97,09,31.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120710,16.55,4.5,22.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120722,10.20,6.5,17.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120726,12.00,10.5,23.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120728,21.80,10,32.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120729,12.40,08,21.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201015058,13.70,8.5,23.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201028036,17.00,11,28.00,F,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200515055,11.00,AB,0.00,I,JAN_DEC,2012,MAKE,COA104_COB204_NEW__COB104_COA204_OLD_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
