Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201119007,43.05,44.75,88.00,S,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119010,24.25,27.25,52.00,D,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119012,27.40,26.5,54.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119013,31.55,31,63.00,B,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119017,23.35,32.5,56.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119021,30.05,30,61.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119023,11.90,17.5,30.00,F,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119025,27.30,29.75,58.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119026,26.60,19.5,47.00,D,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119029,29.50,21,51.00,D,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119033,32.50,31.5,64.00,B,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119035,36.45,41.25,78.00,A,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119039,25.25,29.5,55.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119041,22.40,33,56.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119042,22.90,20.5,44.00,D,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119044,22.50,26,49.00,D,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119045,28.15,35.25,64.00,B,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119046,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119048,26.15,27.5,54.00,C,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119049,17.40,24.5,42.00,E,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119050,10.20,6.25,17.00,F,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119052,16.60,AB,0.00,I,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119056,34.60,42.5,78.00,A,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
201119057,6.10,10,17.00,F,MAY_JUNE,2014,NORMAL,BBA,3.0,SOCIAL SECURITY & LABOUR WELFARE _REF CODE BBA615_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,1,0,1,0,22
