Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110048,12.50,17,30.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110100,21.50,17,39.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110172,34.30,14,49.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110302,19.50,5.5,25.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110308,26.10,17.5,44.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110327,16.80,AB,0.00,I,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110433,16.10,18.5,35.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110461,18.50,18,37.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110479,13.70,26.5,41.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110514,12.30,AB,0.00,I,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20111104,36.40,19.5,56.00,D,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20111105,30.80,21,52.00,E,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20111110,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120004,10.15,34.5,45.00,D,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120022,7.45,0.5,8.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120032,16.30,02,19.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120065,16.20,00,17.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120092,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120094,20.32,AB,0.00,I,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120136,7.00,20.5,28.00,F,EXTRA,2013,EXTRA,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
