Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200814020,12.75,0.50,14.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200913053,17.00,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200913055,15.35,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200928002,9.45,7.75,18.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200928007,16.60,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200912120,20.60,22.75,44.00,D,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200915059,17.80,3,21.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
200928031,17.85,0.5,19.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201012054,12.15,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201012100,17.40,5.75,24.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201012101,17.15,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201013036,14.20,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201015003,21.80,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201015027,17.75,01,19.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201015041,21.70,14.5,37.00,E,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201015062,19.10,3.5,23.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201018001,13.45,08.5,22.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201018003,19.10,AB,0.00,I,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
201018019,13.20,12.25,26.00,F,MAY_JUNE,2014,BACK,COA206_COB206,2.0,COMPUTER PROGRAMMING II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
