Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120274,23.70,11.25,35.00,E,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20131002,19.57,15.25,35.00,E,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201418502,17.00,3.25,21.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130076,21.10,5.25,27.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130508,27.70,17.25,45.00,D,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130513,21.00,13.75,35.00,E,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130565,18.20,13,32.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140008,15.20,3.25,19.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140020,19.97,8.5,29.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140218,18.60,AB,0.00,I,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140345,20.60,9.75,31.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140710,25.10,15.75,41.00,E,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201418514,11.60,7.25,19.00,F,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201518508,18.30,AB,0.00,I,JAN,2017,SUPP,CE1501_CE501_,4.0,GEOTECHNICAL ENGINEERING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
