Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201014502,24.60,7,32.00,F,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
200814020,20.50,31,52.00,D,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
200914056,21.50,35.5,57.00,D,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
200914060,19.00,31.5,51.00,D,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
200814015,24.70,29.5,55.00,D,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
201014001,38.50,44,83.00,A,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
201014002,35.80,44.5,81.00,A,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
201014005,30.90,27,58.00,D,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
201014006,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
201014007,36.90,45,82.00,A,NOV_DEC,2012,NORMAL,IT506,4.0,INDUSTRIAL MANAGEMENT & ENT. DEVELOPMENT,87.000000,78.000000,69.000000,60.000000,51.000000,42.000000,NOV_DEC_2012,1,0,1,0,61
