Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201121302,44.00,43.3,88.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321301,44.00,42,86.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321304,45.00,44.3,90.00,S,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321305,43.00,40.3,84.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321306,44.00,43.7,88.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321307,43.00,41.2,85.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321308,45.00,41.3,87.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321309,45.00,44.5,90.00,S,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321310,40.00,39.8,80.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321311,44.50,42.2,87.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321312,45.00,43.5,89.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
201321313,43.00,39.3,83.00,A,MAY_JUNE,2015,NORMAL,MCH406,8.0,RESEARCH PROJECT WORK _CH2481_,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
