Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140073,16.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20140433,15.95,18.5,35.00,E,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20140519,15.90,23.5,40.00,E,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201500263,20.50,14.5,35.00,E,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201500363,18.05,AB,0.00,I,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201500698,13.95,11.5,26.00,F,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201600067,17.55,11.25,29.00,F,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201600158,15.25,12.75,28.00,F,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201600441,17.75,12.25,30.00,F,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201700150,6.75,AB,0.00,I,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201700492,8.95,AB,0.00,I,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201700501,11.45,AB,0.00,I,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201700147,16.70,14,31.00,F,APRIL_MAY_APR,2013,BACK,CH1108,4.0,ENGINEERING CHEMISTRY _16 17_,89.000000,78.000000,68.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
