Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120154,18.80,18.5,38.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120172,19.80,9.5,30.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120215,16.40,18.5,35.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120219,13.50,6.5,20.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120281,22.10,29,52.00,D,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120357,6.80,AB,0.00,I,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120370,10.10,AB,0.00,I,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120392,17.20,17.5,35.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120395,13.70,19,33.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120412,14.00,13.5,28.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120432,20.30,19,40.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120449,17.70,8.5,27.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120460,16.80,02,19.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120491,12.90,3.5,17.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120501,11.70,AB,0.00,I,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120529,12.70,19,32.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120583,15.30,20.5,36.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120593,9.40,02,12.00,F,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120604,23.00,17.5,41.00,E,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120642,12.30,AB,0.00,I,JAN,2014,MAKE,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
