Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120115,20.50,24.5,45.00,D,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120136,11.95,26.5,39.00,E,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130417,13.50,AB,0.00,I,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130439,16.85,37,54.00,C,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130485,24.15,29.5,54.00,C,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130512,16.00,30,46.00,D,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130533,25.10,25.5,51.00,D,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130615,17.90,28.5,47.00,D,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201415504,14.23,20.5,35.00,E,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120672,14.40,35.5,50.00,D,JULY_AUG,2016,EXTRA,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _8 9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
