Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200814047,19.95,27.5,48.00,E,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200912067,32.05,38,71.00,B,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200912113,28.90,28.5,58.00,C,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913003,33.50,18.5,52.00,D,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913022,37.60,18,56.00,D,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913035,37.90,39.5,78.00,A,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913044,32.15,18,51.00,D,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913047,20.55,15,36.00,F,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913051,41.90,41.5,84.00,A,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
200913060,37.00,40,77.00,A,NOV_DEC,2012,NORMAL,IT705_EC706_EE705,4.0,GEOGRAPHICAL INFORMATION SYSTEM,87.000000,77.000000,68.000000,58.000000,49.000000,39.000000,NOV_DEC_2012,1,0,0,0,70
