Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130194,18.25,11.5,30.00,F,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130590,12.80,AB,0.00,I,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140258,10.80,31.5,43.00,E,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140361,18.85,28,47.00,D,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140395,20.05,35.5,56.00,C,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140424,11.40,25,37.00,E,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140482,19.05,16,36.00,E,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140555,12.83,13,26.00,F,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140658,11.95,15,27.00,F,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130437,20.00,12,32.00,F,JUNE_JULY,2018,SUPP,CS1508_CS1506,4,COMPUTER NETWORK I _15_ _ DATA COMMUNICATION _10 11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
