Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110015,16.00,28.50,45.00,D,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20110175,17.50,12.50,30.00,F,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20110444,13.80,8.50,23.00,F,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20121703,13.60,9.50,24.00,F,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20121704,15.80,17,33.00,F,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120392,18.70,AB,0.00,I,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120460,11.30,24,36.00,E,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120501,17.10,26.50,44.00,D,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120539,12.90,11.50,25.00,F,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201311501,5.00,29.50,35.00,E,MAY_JUNE,2015,BACK,CSE406,4.0,COMMUNICATION TECHNIQUES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
