Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120357,10.10,25,36.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120593,15.20,20.5,36.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120666,6.30,14.5,21.00,F,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120700,9.90,26,36.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130001,14.80,30.5,46.00,D,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130005,12.20,41.5,54.00,C,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130023,9.40,28,38.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130038,8.80,27,36.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130042,10.00,25.5,36.00,E,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130045,12.50,31,44.00,D,JUNE_JULY,2017,SUPP,CS1701,4.0,DISTRIBUTED SYSTEMS _9 10 11 12 13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
