Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200911041,22.90,1.25,25.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911067,14.70,17,32.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911106,19.30,13.5,33.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011046,20.60,24.5,46.00,D,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011080,11.60,AB,0.00,I,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011094,14.90,AB,0.00,I,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011116,11.70,1.5,14.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011509,15.40,23,39.00,E,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201111508,13.20,07,21.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200814004,20.00,AB,0.00,I,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200914062,23.00,AB,0.00,I,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201014005,19.70,04,24.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201014025,17.20,03,21.00,F,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110453,33.00,AB,0.00,I,JAN_DEC,2012,MAKE,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
