Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201321201,45.82,23,69.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321202,44.86,29,74.00,B,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321203,47.05,26,74.00,B,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321204,46.77,21,68.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321205,49.36,31,81.00,A,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321206,42.75,08,51.00,D,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321207,45.95,21,67.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321208,45.55,25,71.00,B,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321209,45.82,25,71.00,B,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321210,43.09,18,62.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321211,46.64,21,68.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321212,47.59,28,76.00,B,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
201321213,45.68,22,68.00,C,NOV_DEC,2013,NORMAL,PHY105,3.0,PHYSICS LAB I _GEN. PHYSICS_,89,80,70,60,50,40,NOV_DEC_2013,0,0,0,0,0
