Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140405,14.70,14,29.00,F,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140425,16.70,21,38.00,E,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140475,15.70,20.5,37.00,E,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140517,8.60,5,14.00,F,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140538,13.10,15,29.00,F,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140563,17.35,19.5,37.00,E,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140592,12.65,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140608,7.90,17,25.00,F,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140641,19.20,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201415502,21.20,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201415510,23.05,24,48.00,D,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20120004,11.20,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20120115,5.00,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130070,12.00,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130144,12.60,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140130,11.25,AB,0.00,I,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140543,18.10,18.5,37.00,E,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140578,35.70,26,62.00,B,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140603,20.70,MP,00.00,MP,MAY_JUNE,2017,BACK,ME1402,0,APPLIED THERMODYNAMICS I _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
