Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120360,12.40,25.5,38.00,E,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120478,15.75,9.5,26.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130010,9.27,10.5,20.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130638,13.25,21,35.00,E,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130696,15.40,00,16.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140004,12.00,36.5,49.00,D,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140252,10.20,15,26.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140259,13.80,31.5,46.00,D,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140587,14.00,13,27.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140615,9.60,09,19.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140681,19.15,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140685,10.10,AB,0.00,I,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500865,13.75,16.5,31.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201612503,11.10,11,23.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201612504,6.30,21,28.00,F,JUNE_JULY,2017,SUPP,EC1306,4.0,DIGITAL ELECTRONICS _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
