Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201012101,15.70,AB,0.00,I,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110266,19.05,13,33.00,F,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20110375,19.90,16,36.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120032,22.70,18,41.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120135,20.40,22,43.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120262,17.00,AB,0.00,I,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120273,21.40,34,56.00,C,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120337,15.10,AB,0.00,I,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120357,19.00,19.5,39.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120371,22.45,17,40.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120387,18.00,AB,0.00,I,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120412,21.97,14,36.00,E,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120036,17.10,15,33.00,F,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120233,26.00,AB,0.00,I,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
20120666,19.80,10.75,31.00,F,MAY_JUNE,2014,BACK,COB204_COA104_NEW_,4.0,ELEMENTS OF MECHANICAL ENGINEERING,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2014,0,0,0,0,0
