Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110536,18.10,26.5,45.00,D,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120054,19.55,20.5,41.00,E,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120180,19.35,17.5,37.00,E,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120182,15.10,10.5,26.00,F,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120185,22.90,18.5,42.00,E,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120312,19.60,21.5,42.00,E,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20120553,19.00,8.5,28.00,F,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20121101,19.40,27,47.00,D,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20130008,16.40,11,28.00,F,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20130010,11.90,8,20.00,F,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
20130013,35.35,37.5,73.00,A,NOV_DEC,2015,NORMAL,EC1504,4.0,ADVANCED MICROPROCESSOR,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,11,0,2,0,98
