Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110175,25.50,03,29.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110243,14.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110270,21.00,07,28.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110287,21.60,09,31.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110304,22.70,02,25.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110311,13.30,00,14.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110313,15.10,AB,0.00,I,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110348,18.10,MP,0.00,MP,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110354,18.20,16.5,35.00,E,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110369,15.60,02,18.00,F,JANUARY_JAN,2015,MAKE,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
