Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110385,19.70,42,62.00,C,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
200814004,31.40,28,60.00,D,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
200814015,39.70,36.50,77.00,B,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
200914060,22.50,29,52.00,E,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014006,34.50,27,62.00,D,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014032,23.90,30,54.00,E,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014040,17.60,AB,0.00,I,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014051,21.70,23.50,46.00,E,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014058,31.50,32.50,64.00,C,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014502,21.60,23.50,46.00,D,EXTRA,2013,EXTRA,IT306,4.0,NUMERICAL TECHNIQUES,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
