Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201319010,21.51,07,29.00,F,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319036,14.80,23.5,39.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201419014,20.31,6.5,27.00,F,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319012,16.41,25,42.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319013,12.70,25,38.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319015,8.80,02,11.00,F,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319021,12.10,17.5,30.00,F,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319025,15.91,23.5,40.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319027,11.40,AB,0.00,I,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319031,19.61,19,39.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319033,16.71,AB,0.00,I,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319037,15.71,24.5,41.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201319039,18.91,22.5,42.00,E,MAY_JUNE,2016,BACK,BA1204,4.0,BUSINESS FINANCE _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
