Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120161,17.70,16.5,35.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120553,15.70,AB,0.00,I,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120260,9.90,21.5,32.00,F,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120731,20.30,18,39.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120360,13.40,15.5,29.00,F,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120159,22.90,5.5,29.00,F,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120587,17.40,AB,0.00,I,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130494,22.40,15,38.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130554,16.20,14,31.00,F,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130555,11.90,AB,0.00,I,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120023,16.10,18,35.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120187,17.60,16.5,35.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
201012100,18.40,18,37.00,E,NOV_DEC,2015,BACK,EC301_EE301_ME301_IE301,4.0,ENGINEERING MATHEMATICS III _MA1303_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
