Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110093,39.90,16.5,57.00,C,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110236,10.40,14.5,25.00,F,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110270,28.90,12.5,42.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110511,21.80,04,26.00,F,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110598,28.80,08,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110604,18.80,17,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200711042,33.30,12.5,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200811003,26.40,12,39.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200812133,18.10,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200911005,29.70,15,45.00,D,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200928013,33.80,17.5,52.00,D,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201011051,23.40,14,38.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201011052,14.90,20,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201011075,16.10,18.5,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201012022,18.00,11.5,30.00,F,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201012045,26.10,10,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201013007,20.50,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201014040,17.40,17,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201015027,24.90,14.5,40.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201028021,16.10,24.5,41.00,E,JULY_AUGUST_AUG,2015,EXTRA,COA201_COB201,4.0,ENGINEERING MATHEMATICS II _07 _ 11_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
