Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20122417,15.66,15,31.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20122435,14.40,26.50,41.00,E,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319010,21.51,06,28.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319012,16.41,6.50,23.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319013,12.70,06,19.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319014,9.50,AB,0.00,I,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319015,8.80,11,20.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319021,12.10,3.5,16.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319025,15.91,14.50,31.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319031,19.61,8.50,29.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319033,16.71,AB,0.00,I,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319036,14.80,13.50,29.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319037,15.71,12.50,29.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201319039,18.91,7.50,27.00,F,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201119050,18.71,18,37.00,E,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201119044,19.00,25,44.00,D,MAY_JUNE,2015,BACK,BBA205,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
