Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201621215,22.24,29,52.00,D,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721201,27.99,23,51.00,D,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721202,31.49,25.75,58.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721203,21.09,23,45.00,E,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721204,21.02,22.25,44.00,E,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721205,26.52,30.75,58.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721206,22.94,19.5,43.00,E,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721207,29.52,26.5,57.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721208,30.14,31.5,62.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721209,24.35,22.25,47.00,D,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721211,30.65,20,51.00,D,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721212,30.75,35.5,67.00,B,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721213,34.95,39.25,75.00,A,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721214,31.55,32.5,65.00,B,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721215,30.54,37.25,68.00,B,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721216,33.50,36.75,71.00,B,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721217,29.12,30.25,60.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721219,21.54,25.75,48.00,D,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721220,26.64,36.75,64.00,B,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721221,30.97,30.5,62.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721222,24.75,30.75,56.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721223,32.05,30.5,63.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721224,37.32,42.75,81.00,S,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721225,28.04,31.75,60.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
201721226,29.27,30.5,60.00,C,NOV-DEC,2018,NORMAL,PH2301,4.0,STATISTICAL MECHANICS,80.000000,72.000000,64.000000,55.000000,47.000000,39.000000,NOV-DEC-2018,0,0,0,0,25
