Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201123013,25.65,18.50,45.00,E,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
201123060,25.47,29.25,55.00,D,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121202,28.20,25.50,54.00,D,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121203,30.18,31.50,62.00,C,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121204,23.02,24,48.00,E,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121205,26.03,26,53.00,D,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121206,35.00,34.75,70.00,B,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121207,29.90,27.75,58.00,C,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121208,36.30,36.25,73.00,A,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121209,31.43,32.75,65.00,B,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121211,38.87,36,75.00,A,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121212,43.43,36.75,81.00,S,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121213,23.98,34.75,59.00,C,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121216,35.22,36.75,72.00,A,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121217,35.72,34.75,71.00,B,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121218,31.45,37.75,70.00,B,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121219,38.42,37.50,76.00,A,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
20121220,36.63,33,70.00,B,MAY_JUNE,2014,NORMAL,MGT401,4.0,ENTP. RES. PLANNING & QUALITY ASSURANCE & KNOWLEDGE MGT.,80.000000,72.000000,65.000000,57.000000,50.000000,42.000000,MAY_JUNE_2014,0,0,0,1,58
