Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121241,15.00,18.75,34.00,F,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20121247,15.16,21,37.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201023007,26.20,AB,0.00,I,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201123013,19.00,20,39.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323001,31.00,23.5,55.00,C,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323003,13.00,32,45.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323006,25.00,20,45.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323008,24.00,18,42.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323009,23.00,25.25,49.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323013,17.00,25.25,43.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323015,24.00,22.25,47.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323022,22.00,16.75,39.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323023,24.00,17.5,42.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323026,28.00,AB,0.00,I,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323032,30.00,17.75,48.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323034,24.00,14.75,39.00,E,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201323036,28.00,19.75,48.00,D,EXTRA,2014,EXTRA,MGT204,4.0,PRODUCTIONS & OPERATIONS MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
