Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120094,18.80,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20120317,19.80,10.75,31.00,F,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130076,11.80,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130461,14.20,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130335,16.00,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20130428,16.85,10.75,28.00,F,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140142,14.50,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140159,21.49,3.0,25.00,F,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140405,17.61,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140466,25.65,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140546,16.25,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140563,18.95,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140565,12.15,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140576,13.70,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140603,12.09,AB,0.00,I,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
20140700,15.20,13.75,29.00,F,NOV_DEC,2015,BACK,COA103_COB203,4.0,ENGINEERING PHYSICS _PH1103__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,0,0,0,0,0
