Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201025004,38.90,36.9,76.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025005,36.30,35.3,72.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025006,36.50,37,74.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025501,35.60,35.1,71.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025502,40.60,42.6,84.00,A,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025503,39.30,40.8,81.00,A,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201025505,38.10,40.3,79.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125001,40.40,38.7,80.00,A,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125003,39.30,38.3,78.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125005,38.50,36.5,75.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125006,38.80,36.8,76.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125007,38.20,36.9,76.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201125008,39.80,36.3,77.00,B,APRIL_MAY_APR,2013,NORMAL,MPE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
