Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201123002,18.90,18,37.00,E,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123006,21.95,19.5,42.00,E,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123007,22.70,20.5,44.00,D,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123008,21.60,24,46.00,D,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123009,24.60,20.5,46.00,D,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123010,35.60,28,64.00,B,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123011,27.75,25.5,54.00,C,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123014,32.60,35,68.00,B,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123015,30.10,27,58.00,C,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123018,28.80,28.5,58.00,C,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123020,24.85,14.5,40.00,E,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123023,23.45,17,41.00,E,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123025,28.25,17,46.00,D,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123029,25.40,17.5,43.00,E,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123030,34.65,31,66.00,B,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
201123032,33.30,24,58.00,C,NOV_DEC,2012,NORMAL,MGT_FM_301,4.0,SEC ANA & PORTFOLIO MGT & OPT  FUT & DERIVATIVES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,0,0,0,0,27
