Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121201,22.50,15.5,38.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121202,15.90,28,44.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121203,28.60,38.5,68.00,B,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121204,17.60,21,39.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121205,19.30,23,43.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121206,31.10,43,75.00,A,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121207,21.10,24.5,46.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121208,25.70,22,48.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121209,27.00,30,57.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121211,31.70,36,68.00,B,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121212,35.60,41,77.00,A,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121213,21.60,25.5,48.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121214,17.80,7.5,26.00,F,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121216,30.10,41,72.00,A,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121217,30.40,26,57.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121218,38.20,39,78.00,A,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121219,31.00,35.5,67.00,B,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121220,34.60,38,73.00,A,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121221,19.10,11,31.00,F,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121222,23.80,11.5,36.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121223,26.80,31.5,59.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121225,22.10,22.5,45.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121226,26.10,19.5,46.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121227,31.05,25.5,57.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121228,21.90,17,39.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121229,30.20,21.5,52.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121230,34.60,29,64.00,B,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121231,21.50,17.5,39.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121232,26.30,27,54.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121233,34.20,29.5,64.00,B,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121234,30.05,25.5,56.00,C,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121235,18.50,23.5,42.00,E,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121236,9.30,22,32.00,F,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121237,22.60,22.5,46.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
20121238,20.70,24,45.00,D,APRIL_MAY_APR,2013,NORMAL,MGT202,4.0,MARKETING MANAGEMENT,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,1,1,61
