Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201022022,17.50,14.5,32.00,F,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122001,46.00,39.5,86.00,S,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122002,34.80,39.5,75.00,A,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122003,13.30,22,36.00,E,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122004,20.35,21,42.00,E,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122007,27.20,16,44.00,E,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122008,26.20,25,52.00,D,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122010,30.25,26.5,57.00,C,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122011,30.95,20.5,52.00,D,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122013,30.70,28.5,60.00,C,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122014,26.35,29,56.00,C,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122015,39.45,31.5,71.00,B,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122016,33.40,20.5,54.00,C,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122017,30.25,20.5,51.00,D,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
201122018,36.00,24.5,61.00,C,APRIL_MAY_APR,2013,NORMAL,MCA402,4.0,THEORY OF COMPUTATION,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,36
