Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110014,20.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110074,26.20,AB,0.00,I,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110153,20.20,22,43.00,E,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110174,13.70,22.5,37.00,E,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110201,11.40,AB,0.00,I,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110258,30.10,13.5,44.00,E,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110305,24.25,10,35.00,E,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20121703,19.15,12,32.00,F,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20121715,23.50,23.5,47.00,D,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
200911005,14.05,AB,0.00,I,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201011018,19.60,10,30.00,F,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201011043,17.70,1.5,20.00,F,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201011511,25.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201111503,21.30,7,29.00,F,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201111508,18.00,6,24.00,F,JANUARY_JAN,2015,MAKE,CSE701,4.0,DISTRIBUTED SYSTEMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
