Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201800031,17.00,17.5,35.00,E,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800054,17.20,21,39.00,E,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800073,19.20,AB,0.00,I,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800125,11.20,9.5,21.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800139,14.90,AB,0.00,I,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800159,13.60,02,16.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800186,17.50,09,27.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800210,16.80,17.5,35.00,E,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800230,16.00,MP,0.00,MP,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800250,13.50,15.5,29.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800272,15.80,8.5,25.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800275,15.70,10,26.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800345,14.50,07,22.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800485,18.90,10.5,30.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800526,27.00,20.5,48.00,D,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800535,18.60,26,45.00,E,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800579,17.20,10.5,28.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800585,16.00,30.5,47.00,D,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800589,29.70,MP,0.00,MP,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800597,12.70,10,23.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800661,8.20,14.5,23.00,F,JAN,2019,SUPP,EE1109,3.0,ELEMENTS OF ELECTRICAL ENGINEERING _18_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
